Model,Accuracy,F1_Macro,F1_Weighted,F1_Micro,Precision,Recall
ResNet50,0.2989949748743719,0.11508704061895551,0.13764178727292167,0.2989949748743719,0.07474874371859297,0.25
VGG16,0.8140703517587939,0.8066721067053514,0.8131359873999267,0.8140703517587939,0.8070154229868676,0.8097572597054914
Simple CNN,0.24371859296482412,0.09797979797979799,0.09551799401045633,0.24371859296482412,0.06092964824120603,0.25
MobileNetV2,0.8090452261306532,0.8016660367850844,0.8074657743238745,0.8090452261306532,0.8017719285541507,0.8032605390660161
